cn_title,en_title,rating,year
英雄本色,,8.6,1986
风之谷,/ 風の谷のナウシカ,8.9,1984
无间道2,/ 無間道II,8.8,2003
疯狂的石头,,8.6,2006
2001太空漫游,/ 2001: A Space Odyssey,8.9,1968
雨中曲,/ Singin' in the Rain,9.1,1952
纵横四海,/ 緃横四海,8.8,1991
卢旺达饭店,/ Hotel Rwanda,8.9,2004
记忆碎片,/ Memento,8.7,2000
小偷家族,/ 万引き家族,8.7,2018
无敌破坏王,/ Wreck-It Ralph,8.7,2012
岁月神偷,/ 歲月神偷,8.7,2010
冰川时代,/ Ice Age,8.6,2002
牯岭街少年杀人事件,/ 牯嶺街少年殺人事件,8.9,1991
荒蛮故事,/ Relatos salvajes,8.8,2014
忠犬八公物语,/ ハチ公物語,9.2,1987
恐怖游轮,/ Triangle,8.5,2009
爆裂鼓手,/ Whiplash,8.6,2014
末路狂花,/ Thelma & Louise,9.0,1991
东京教父,/ 東京ゴッドファーザーズ,9.0,2003
魔女宅急便,/ 魔女の宅急便,8.7,1989
大佛普拉斯,,8.7,2017
遗愿清单,/ The Bucket List,8.7,2007
贫民窟的百万富翁,/ Slumdog Millionaire,8.6,2008
高山下的花环,,9.5,1984(中国大陆)
东邪西毒,/ 東邪西毒,8.6,1994
你看起来好像很好吃,/ おまえうまそうだな,8.9,2010
源代码,/ Source Code,8.5,2011
疯狂的麦克斯4：狂暴之路,/ Mad Max: Fury Road,8.7,2015
可可西里,,8.9,2004
海边的曼彻斯特,/ Manchester by the Sea,8.6,2016
城市之光,/ City Lights,9.3,1931
波西米亚狂想曲,/ Bohemian Rhapsody,8.6,2018
黑天鹅,/ Black Swan,8.6,2010
芙蓉镇,,9.3,1987
爱乐之城,/ La La Land,8.4,2016
真爱至上,/ Love Actually,8.5,2003
青蛇,,8.6,1993
花束般的恋爱,/ 花束みたいな恋をした,8.6,2021
初恋这件小事,/ สิ่งเล็กเล็กที่เรียกว่า...รัก,8.5,2010
雨人,/ Rain Man,8.7,1988
终结者2：审判日,/ Terminator 2: Judgment Day,8.8,1991
人工智能,/ A.I. Artificial Intelligence,8.7,2001
无耻混蛋,/ Inglourious Basterds,8.7,2009
虎口脱险,/ La grande vadrouille,8.9,1966
哈利·波特与死亡圣器(上),/ Harry Potter and the Deathly Hallows: Part 1,8.6,2010
新龙门客栈,/ 新龍門客棧,8.7,1992
白日梦想家,/ The Secret Life of Walter Mitty,8.6,2013
恋恋笔记本,/ The Notebook,8.5,2004
崖上的波妞,/ 崖の上のポニョ,8.6,2008
罗生门,/ 羅生門,8.8,1950
千钧一发,/ Gattaca,8.8,1997
彗星来的那一夜,/ Coherence,8.6,2013
机器人之梦,/ Robot Dreams,9.0,2023
大红灯笼高高挂,,8.8,1991
哈利·波特与凤凰社,/ Harry Potter and the Order of the Phoenix,8.5,2007
黑客帝国2：重装上阵,/ The Matrix Reloaded,8.7,2003
萤火虫之墓,/ 火垂るの墓,8.7,1988
火星救援,/ The Martian,8.5,2015
奇迹男孩,/ Wonder,8.6,2017
二十二,,8.7,2015
战争之王,/ Lord of War,8.7,2005
步履不停,/ 歩いても 歩いても,8.8,2008
千年女优,/ 千年女優,8.8,2001
血钻,/ Blood Diamond,8.7,2006
谍影重重2,/ The Bourne Supremacy,8.7,2004
房间,/ Room,8.8,2015
魂断蓝桥,/ Waterloo Bridge,8.8,1940
蜘蛛侠：平行宇宙,/ Spider-Man: Into the Spider-Verse,8.6,2018
弱点,/ The Blind Side,8.7,2009
谍影重重,/ The Bourne Identity,8.6,2002
隐藏人物,/ Hidden Figures,8.9,2016
朗读者,/ The Reader,8.6,2008
阿飞正传,/ 阿飛正傳,8.5,1990
