title,rating,year,genre,director
Dangal,8.3,,"A|c|t|i|o|n|,| |B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a",
Hamilton,8.3,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
The Wolf of Wall Street,8.2,,"B|i|o|g|r|a|p|h|y|,| |C|o|m|e|d|y|,| |C|r|i|m|e",
Batman Begins,8.2,,"A|c|t|i|o|n|,| |D|r|a|m|a",
Per qualche dollaro in più,8.2,,"D|r|a|m|a|,| |W|e|s|t|e|r|n",
Green Book,8.2,,"B|i|o|g|r|a|p|h|y|,| |C|o|m|e|d|y|,| |D|r|a|m|a",
Some Like It Hot,8.2,,"C|o|m|e|d|y|,| |M|u|s|i|c|,| |R|o|m|a|n|c|e",
The Truman Show,8.2,,"C|o|m|e|d|y|,| |D|r|a|m|a",
Judgment at Nuremberg,8.3,,"D|r|a|m|a|,| |W|a|r",
The Kid,8.2,,"C|o|m|e|d|y|,| |D|r|a|m|a|,| |F|a|m|i|l|y",
The Father,8.2,,"D|r|a|m|a|,| |M|y|s|t|e|r|y",
Shutter Island,8.2,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
All About Eve,8.2,,D|r|a|m|a,
There Will Be Blood,8.2,,D|r|a|m|a,
Jurassic Park,8.2,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Casino,8.2,,"C|r|i|m|e|,| |D|r|a|m|a",
Top Gun: Maverick,8.2,,"A|c|t|i|o|n|,| |D|r|a|m|a",
The Sixth Sense,8.2,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
Ran,8.2,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |W|a|r",
No Country for Old Men,8.2,,"C|r|i|m|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
El laberinto del fauno,8.2,,"D|r|a|m|a|,| |F|a|n|t|a|s|y|,| |W|a|r",
Unforgiven,8.2,,"D|r|a|m|a|,| |W|e|s|t|e|r|n",
The Thing,8.2,,"H|o|r|r|o|r|,| |M|y|s|t|e|r|y|,| |S|c|i|-|F|i",
A Beautiful Mind,8.2,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Kill Bill: Vol. 1,8.2,,"A|c|t|i|o|n|,| |C|r|i|m|e|,| |T|h|r|i|l|l|e|r",
The Treasure of the Sierra Madre,8.2,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |W|e|s|t|e|r|n",
